# scripts/ci_pipefail_grepq_baseline.txt — FROZEN inventory of the
# `set -o pipefail` + `| grep -q` sites that already existed when
# scripts/test_gate_pipefail_grepq.sh was introduced (2026-07-31).
#
# Each line is "<script> <count>". The file is a RATCHET, enforced by
# scripts/test_gate_pipefail_grepq.sh:
#   * a script NOT listed here may not acquire a site at all;
#   * a listed script's count may only SHRINK;
#   * the file may only shrink vs HEAD (PART 3), so a new finding cannot be
#     laundered by appending a line.
#
# These are NOT blessed. Every one is a link that returns the wrong answer
# when it matches and the payload is big enough — see the header of
# scripts/_pipefail_grepq_scan.py for the measured rates. They are frozen
# because fixing 333 assertions in one unreviewed sweep is its own risk: the
# fix is mechanical but a typo in an assertion is a SILENT FALSE GREEN.
# Fix them in the gate you are already touching, and delete the line.
#
# Already fixed and deliberately absent from this list (2026-07-31):
#   test_de_focus_damage_host  test_de_new_apps  test_de_terminal_namespace
#   test_de_scene_calc_edit_features  test_de_rio_blit  test_auxmouse_wheel_dz
#   test_atkbd_no_keystroke_loss  test_atkbd_poll_aux_filter
#   test_de_resize_event_relayout  test_de_cursor_decouple  test_de_uid_ns
#   test_arm64_codegen  test_de_flicker_double_buffer
scripts/test_adder_check_arith.sh 4
scripts/test_adder_must_use.sh 3
scripts/test_adder_x86_64_linux.sh 3
scripts/test_alx_ko.sh 1
scripts/test_arm64_a10_userland.sh 1
scripts/test_arm64_a11_archive.sh 1
scripts/test_arm64_baremetal.sh 2
scripts/test_arm64_build_integrity.sh 2
scripts/test_arm64_currentel_probe.sh 6
scripts/test_arm64_el0.sh 2
scripts/test_arm64_irq.sh 2
scripts/test_arm64_isolation.sh 2
scripts/test_arm64_llvm_lane_diff.sh 1
scripts/test_arm64_pagefault.sh 2
scripts/test_arm64_phase10.sh 2
scripts/test_arm64_phase11.sh 2
scripts/test_arm64_phase12.sh 2
scripts/test_arm64_phase13.sh 2
scripts/test_arm64_phase14.sh 2
scripts/test_arm64_phase15.sh 2
scripts/test_arm64_phase16.sh 2
scripts/test_arm64_phase17.sh 2
scripts/test_arm64_phase18.sh 2
scripts/test_arm64_phase19.sh 2
scripts/test_arm64_phase20.sh 2
scripts/test_arm64_phase21.sh 2
scripts/test_arm64_phase22.sh 2
scripts/test_arm64_phase23.sh 2
scripts/test_arm64_phase24.sh 2
scripts/test_arm64_phase25.sh 2
scripts/test_arm64_phase26.sh 2
scripts/test_arm64_phase27.sh 1
scripts/test_arm64_phase28.sh 1
scripts/test_arm64_phase29.sh 1
scripts/test_arm64_phase30.sh 1
scripts/test_arm64_phase31.sh 1
